DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
-13.0,G4,192,2025,9,15,1,ABE,PIE,2,3,360,521,161.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,27.9102,-82.687401,237NV
-8.0,OH,5600,2025,9,15,1,ABE,CLT,2,3,360,471,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N546FF
-5.0,G4,1791,2025,9,15,1,ABE,SFB,2,3,510,655,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,271NV
-10.0,G4,163,2025,9,15,1,ABE,MLB,2,2,540,690,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,6.0,40.651773,-75.442797,28.102009,-80.641088,281NV
-2.0,G4,191,2025,9,15,1,ABE,MYR,2,3,774,874,100.0,1.0,-7.0,-10.0,50.0,0.0,19.0,0.0,17.0,25.0,0.0,17.0,40.651773,-75.442797,33.679699,-78.928299,237NV
-5.0,OO,5609,2025,9,15,1,ABE,ORD,2,3,780,872,152.0,1.0,-6.0,2.0,142.0,0.0,22.0,0.0,13.0,24.0,0.0,13.0,40.651773,-75.442797,41.9786,-87.9048,N904EV
8.0,OH,5156,2025,9,15,1,ABE,CLT,2,3,877,989,112.0,1.0,8.0,8.0,32.0,0.0,23.0,0.0,6.0,27.0,0.0,13.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N560NN
-12.0,G4,214,2025,9,15,1,ABE,SFB,2,3,900,1045,145.0,1.0,-13.0,-15.0,90.0,8.0,24.0,0.0,6.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,271NV
-9.0,G4,172,2025,9,15,1,ABE,PGD,2,2,937,1105,168.0,1.0,-7.0,-7.0,90.0,8.0,24.0,0.0,6.0,0.0,0.0,0.0,40.651773,-75.442797,26.9202,-81.990501,281NV
-9.0,OH,5502,2025,9,15,1,ABE,CLT,2,3,1140,1252,112.0,1.0,-6.0,-15.0,70.0,0.0,27.0,0.0,19.0,28.0,0.0,20.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N619NN
-10.0,MQ,3647,2025,9,15,1,ABI,DFW,2,3,319,375,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N268NN
90.0,MQ,3737,2025,9,15,1,ABI,DFW,2,3,420,481,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N282NN
-13.0,MQ,3407,2025,9,15,1,ABI,DFW,2,3,639,699,60.0,1.0,-5.0,-16.0,30.0,0.0,22.0,0.0,11.0,23.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N232NN
-9.0,MQ,3468,2025,9,15,1,ABI,DFW,2,3,832,890,58.0,1.0,-7.0,-14.0,31.0,0.0,22.0,0.0,7.0,28.0,0.0,7.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N303DD
-7.0,MQ,3405,2025,9,15,1,ABI,DFW,2,3,1137,1200,63.0,1.0,-2.0,1.0,34.0,0.0,32.0,0.0,15.0,33.0,0.0,15.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N761RW
-8.0,WN,192,2025,9,15,1,ABQ,MDW,3,3,300,520,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,41.785999,-87.752403,N265WN
8.0,WN,2881,2025,9,15,1,ABQ,AUS,3,3,315,480,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,30.197535,-97.662015,N8917Q
-12.0,OO,4152,2025,9,15,1,ABQ,SLC,3,3,330,431,101.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,40.78886,-111.979866,N278SY
-8.0,OO,5988,2025,9,15,1,ABQ,DEN,3,3,330,416,86.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N786SK
-5.0,WN,153,2025,9,15,1,ABQ,DEN,3,3,330,410,80.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N8748Q
-10.0,AA,2335,2025,9,15,1,ABQ,DFW,3,3,344,516,112.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N923NN
