DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
-8.0,G4,1802,2025,12,15,1,ABE,PIE,2,3,420,587,167.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,27.9102,-82.687401,205NV
-6.0,OH,5250,2025,12,15,1,ABE,CLT,2,3,451,573,122.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N555NN
-13.0,G4,209,2025,12,15,1,ABE,SFB,2,3,510,665,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,250NV
-13.0,G4,1790,2025,12,15,1,ABE,MLB,2,2,540,699,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,35.0,40.651773,-75.442797,28.102009,-80.641088,256NV
12.0,OO,5496,2025,12,15,1,ABE,ORD,2,3,780,878,158.0,1.0,28.0,36.0,148.0,0.0,-8.0,0.0,13.0,-12.0,0.0,24.0,40.651773,-75.442797,41.9786,-87.9048,N916EV
32.0,OH,5052,2025,12,15,1,ABE,CLT,2,3,828,945,117.0,1.0,37.0,25.0,30.0,12.0,-8.0,0.0,13.0,-3.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N567NN
-3.0,G4,206,2025,12,15,1,ABE,PGD,2,2,838,1011,173.0,1.0,-9.0,-6.0,50.0,44.0,-8.0,0.0,13.0,0.0,0.0,0.0,40.651773,-75.442797,26.9202,-81.990501,205NV
-3.0,G4,1807,2025,12,15,1,ABE,SFB,2,3,909,1064,155.0,1.0,-13.0,-9.0,90.0,0.0,-6.0,0.0,22.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,250NV
-5.0,G4,169,2025,12,15,1,ABE,FLL,2,3,946,1125,179.0,1.0,-13.0,-36.0,407.0,0.0,-6.0,0.0,22.0,23.0,0.0,22.0,40.651773,-75.442797,26.072599,-80.152702,256NV
72.0,OH,5502,2025,12,15,1,ABE,CLT,2,3,990,1107,117.0,1.0,77.0,79.0,77.0,0.0,-5.0,0.0,19.0,2.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N584NN
