DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
-6.0,OH,5600,2025,4,15,2,ABE,CLT,2,3,365,471,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N538EG
-10.0,G4,168,2025,4,15,2,ABE,FLL,2,3,887,1074,187.0,1.0,0.0,0.0,0.0,0.0,16.7,0.0,20.5,26.7,0.0,11.2,40.651773,-75.442797,26.072599,-80.152702,257NV
-5.0,OH,5052,2025,4,15,2,ABE,CLT,2,3,1045,1151,106.0,1.0,162.0,157.0,0.0,0.0,17.2,0.0,22.3,22.2,0.0,29.5,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N547NN
-4.0,G4,203,2025,4,15,2,ABE,SFB,2,3,1252,1405,153.0,1.0,-5.0,-6.0,50.0,0.0,16.1,0.0,37.1,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,813NV
-8.0,MQ,3706,2025,4,15,2,ABI,DFW,2,3,315,373,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N282NN
-8.0,MQ,3407,2025,4,15,2,ABI,DFW,2,3,635,692,57.0,1.0,-6.0,-9.0,79.0,0.0,13.3,0.0,11.2,14.4,0.0,14.8,32.4113006592,-99.6819000244,32.896801,-97.038002,N226NN
-7.0,MQ,3468,2025,4,15,2,ABI,DFW,2,3,839,901,62.0,1.0,-7.0,-7.0,39.0,0.0,12.8,0.0,5.4,18.3,0.0,25.9,32.4113006592,-99.6819000244,32.896801,-97.038002,N210NN
-12.0,MQ,3405,2025,4,15,2,ABI,DFW,2,3,1088,1145,57.0,1.0,-1.0,-2.0,81.0,0.0,22.2,0.0,18.4,22.8,0.0,16.6,32.4113006592,-99.6819000244,32.896801,-97.038002,N215NN
-9.0,AA,2335,2025,4,15,2,ABQ,DFW,3,3,300,468,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N342PM
-5.0,OO,3888,2025,4,15,2,ABQ,SLC,3,3,330,438,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,40.78886,-111.979866,N256SY
-7.0,WN,498,2025,4,15,2,ABQ,DAL,3,3,330,495,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.844776,-96.847653,N8861Q
-3.0,WN,3992,2025,4,15,2,ABQ,DEN,3,3,350,435,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N904WN
-5.0,OO,4115,2025,4,15,2,ABQ,LAX,3,3,360,433,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N322SY
-8.0,OO,6247,2025,4,15,2,ABQ,PHX,3,3,360,390,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N504SY
-10.0,OO,4628,2025,4,15,2,ABQ,SFO,3,3,360,465,165.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,37.619806,-122.374821,N622UX
-10.0,AA,1035,2025,4,15,2,ABQ,DFW,3,3,361,531,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N553UW
-6.0,WN,2004,2025,4,15,2,ABQ,LAS,3,3,365,405,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,36.083361,-115.151817,N920WN
-10.0,OO,6224,2025,4,15,2,ABQ,LAX,3,3,400,473,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N511SY
-8.0,DL,1688,2025,4,15,2,ABQ,ATL,3,3,405,702,177.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,11.2,35.039976,-106.608925,33.6367,-84.428101,N887DN
-4.0,WN,2146,2025,4,15,2,ABQ,AUS,3,3,420,580,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,30.197535,-97.662015,N287WN
-11.0,UA,621,2025,4,15,2,ABQ,DEN,3,3,420,504,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N37468
-3.0,WN,2425,2025,4,15,2,ABQ,HOU,3,3,435,620,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.0,35.039976,-106.608925,29.645336,-95.276812,N8647A
-6.0,WN,2862,2025,4,15,2,ABQ,PHX,3,3,450,470,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N438WN
12.0,UA,214,2025,4,15,2,ABQ,IAH,3,3,460,648,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0,5.4,35.039976,-106.608925,29.9844,-95.3414,N63890
44.0,AA,1536,2025,4,15,2,ABQ,DFW,3,3,469,637,108.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,16.1,0.0,20.5,35.039976,-106.608925,32.896801,-97.038002,N819NN
16.0,WN,2252,2025,4,15,2,ABQ,MDW,3,3,470,690,160.0,1.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,5.6,0.0,42.5,35.039976,-106.608925,41.785999,-87.752403,N464WN
-6.0,AS,618,2025,4,15,2,ABQ,SEA,3,3,480,624,204.0,1.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,9.4,0.0,14.8,35.039976,-106.608925,47.447943,-122.310276,N478AS
-10.0,AA,2914,2025,4,15,2,ABQ,PHX,3,3,487,510,83.0,1.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N828AW
