DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
-3.0,9E,5251,2024,2,15,4,ABE,ATL,2,3,360,506,146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,33.6367,-84.428101,N320PQ
-1.0,OO,5567,2024,2,15,4,ABE,ORD,2,3,375,478,163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,41.9786,-87.9048,N876AS
-11.0,OH,5600,2024,2,15,4,ABE,CLT,2,3,379,505,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N633NN
-7.0,G4,201,2024,2,15,4,ABE,FLL,2,3,450,628,178.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,9.4,40.651773,-75.442797,26.072599,-80.152702,235NV
-12.0,G4,1791,2024,2,15,4,ABE,DEN,2,3,540,670,250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,0.0,16.6,40.651773,-75.442797,39.860027,-104.673792,223NV
39.0,OH,5156,2024,2,15,4,ABE,CLT,2,3,710,829,119.0,1.0,55.0,46.0,30.0,0.0,-7.2,0.0,9.4,5.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N612NN
1.0,9E,5241,2024,2,15,4,ABE,ATL,2,3,755,894,139.0,1.0,-2.0,9.0,80.0,39.0,-8.3,0.0,0.0,5.0,0.0,0.0,40.651773,-75.442797,33.6367,-84.428101,N376CA
38.0,G4,211,2024,2,15,4,ABE,SFB,2,3,903,1062,159.0,1.0,-1.0,26.0,90.0,0.0,-2.8,0.0,14.8,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,235NV
8.0,G4,176,2024,2,15,4,ABE,PIE,2,3,918,1092,174.0,1.0,4.0,8.0,93.0,38.0,-2.8,0.0,14.8,0.0,0.0,0.0,40.651773,-75.442797,27.9102,-82.687401,230NV
-5.0,9E,5246,2024,2,15,4,ABE,ATL,2,3,1054,1199,145.0,1.0,-4.0,-3.0,84.0,0.0,0.0,0.0,0.0,19.4,0.0,9.4,40.651773,-75.442797,33.6367,-84.428101,N605LR
-13.0,OH,5052,2024,2,15,4,ABE,CLT,2,3,1165,1284,119.0,1.0,-9.0,-14.0,73.0,0.0,0.6,0.0,7.6,20.0,0.0,27.7,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N616NN
-7.0,MQ,3706,2024,2,15,4,ABI,DFW,2,3,311,367,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N228NN
-5.0,MQ,3647,2024,2,15,4,ABI,DFW,2,3,390,446,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N256NN
8.0,MQ,3407,2024,2,15,4,ABI,DFW,2,3,629,682,53.0,1.0,-5.0,12.0,70.0,0.0,11.7,0.0,16.6,10.6,0.0,11.2,32.4113006592,-99.6819000244,32.896801,-97.038002,N873RW
-4.0,MQ,3408,2024,2,15,4,ABI,DFW,2,3,886,939,53.0,1.0,-4.0,-16.0,30.0,0.0,11.1,0.0,14.8,12.2,0.0,5.4,32.4113006592,-99.6819000244,32.896801,-97.038002,N264NN
-3.0,MQ,3405,2024,2,15,4,ABI,DFW,2,3,1098,1151,53.0,1.0,0.0,0.0,0.0,0.0,18.3,0.0,9.4,19.4,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N312BT
-7.0,DL,2007,2024,2,15,4,ABQ,SLC,3,3,330,441,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,40.78886,-111.979866,N136DQ
-3.0,OO,4115,2024,2,15,4,ABQ,LAX,3,3,360,439,139.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N271SY
-3.0,AA,626,2024,2,15,4,ABQ,PHX,3,3,360,447,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N826AW
-4.0,WN,664,2024,2,15,4,ABQ,DEN,3,3,360,450,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N8812Q
21.0,AA,2335,2024,2,15,4,ABQ,DFW,3,3,368,536,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N998NN
-3.0,WN,1151,2024,2,15,4,ABQ,OAK,3,3,375,475,160.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,37.720085,-122.221184,N7867A
-3.0,WN,1198,2024,2,15,4,ABQ,DAL,3,3,390,555,105.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.844776,-96.847653,N7852A
-4.0,WN,930,2024,2,15,4,ABQ,PHX,3,3,405,495,90.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N8774Q
-3.0,OO,5920,2024,2,15,4,ABQ,SFO,3,3,410,521,171.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,37.619806,-122.374821,N127SY
-1.0,DL,1688,2024,2,15,4,ABQ,ATL,3,3,420,722,182.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.7,0.0,5.4,35.039976,-106.608925,33.6367,-84.428101,N388DN
11.0,WN,1093,2024,2,15,4,ABQ,HOU,3,3,420,600,120.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,16.0,0.0,6.0,35.039976,-106.608925,29.645336,-95.276812,N550WN
-9.0,OO,6345,2024,2,15,4,ABQ,LAX,3,3,420,491,131.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N762SK
7.0,UA,2014,2024,2,15,4,ABQ,DEN,3,3,430,518,88.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N68807
7.0,WN,683,2024,2,15,4,ABQ,MDW,3,3,450,675,165.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,5.6,0.8,16.6,35.039976,-106.608925,41.785999,-87.752403,N8663A
-12.0,UA,462,2024,2,15,4,ABQ,IAH,3,3,480,671,131.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,13.9,0.0,0.0,35.039976,-106.608925,29.9844,-95.3414,N466UA
-3.0,WN,4821,2024,2,15,4,ABQ,LAS,3,3,495,540,105.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,36.083361,-115.151817,N952WN
-11.0,AA,1211,2024,2,15,4,ABQ,DFW,3,3,497,665,108.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.6,0.0,11.2,35.039976,-106.608925,32.896801,-97.038002,N906AN
0.0,WN,513,2024,2,15,4,ABQ,AUS,3,3,515,675,100.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.9,0.0,5.4,35.039976,-106.608925,30.197535,-97.662015,N968WN
-5.0,WN,1476,2024,2,15,4,ABQ,DAL,3,3,525,685,100.0,1.0,-5.0,-14.0,35.0,7.0,0.0,0.0,0.0,11.1,0.0,7.6,35.039976,-106.608925,32.844776,-96.847653,N422WN
7.0,WN,2867,2024,2,15,4,ABQ,DEN,3,3,585,670,85.0,1.0,1.0,-12.0,35.0,0.0,0.0,0.0,0.0,-3.3,0.0,16.6,35.039976,-106.608925,39.860027,-104.673792,N210WN
-3.0,WN,2003,2024,2,15,4,ABQ,LAS,3,3,635,675,100.0,1.0,1.0,-1.0,85.0,7.0,1.1,0.0,0.0,12.2,0.0,7.6,35.039976,-106.608925,36.083361,-115.151817,N8677A
-4.0,AA,1209,2024,2,15,4,ABQ,DFW,3,3,655,821,106.0,1.0,-4.0,-13.0,97.0,7.0,1.1,0.0,0.0,10.0,0.0,11.2,35.039976,-106.608925,32.896801,-97.038002,N849NN
5.0,WN,572,2024,2,15,4,ABQ,SAN,3,3,655,715,120.0,1.0,1.0,15.0,50.0,7.0,1.1,0.0,0.0,12.8,0.0,7.6,35.039976,-106.608925,32.733601,-117.190002,N8746Q
18.0,WN,4483,2024,2,15,4,ABQ,DAL,3,3,670,830,100.0,1.0,12.0,13.0,75.0,5.0,0.6,0.0,9.4,12.8,0.0,0.0,35.039976,-106.608925,32.844776,-96.847653,N230WN
-1.0,WN,4580,2024,2,15,4,ABQ,PHX,3,3,700,785,85.0,1.0,-3.0,-12.0,85.0,23.0,0.6,0.0,9.4,10.0,0.0,5.4,35.039976,-106.608925,33.435302,-112.005905,N8675A
-10.0,AA,2890,2024,2,15,4,ABQ,PHX,3,3,700,786,86.0,1.0,0.0,-12.0,92.0,23.0,0.6,0.0,9.4,10.0,0.0,5.4,35.039976,-106.608925,33.435302,-112.005905,N992NN
