DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
-10.0,OH,5250,2025,11,15,6,ABE,CLT,2,3,376,500,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N611NN
-12.0,G4,162,2025,11,15,6,ABE,PGD,2,2,480,656,176.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,26.9202,-81.990501,256NV
20.0,G4,2712,2025,11,15,6,ABE,PIE,2,3,691,857,166.0,1.0,-10.0,4.0,90.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,40.651773,-75.442797,27.9102,-82.687401,811NV
-3.0,OH,5052,2025,11,15,6,ABE,CLT,2,3,840,952,112.0,1.0,-5.0,-2.0,71.0,0.0,7.0,0.0,0.0,19.0,0.0,17.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N639NN
19.0,G4,2867,2025,11,15,6,ABE,SFB,2,3,884,1039,155.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,817NV
9.0,OH,5502,2025,11,15,6,ABE,CLT,2,3,1030,1144,114.0,1.0,-5.0,-6.0,71.0,0.0,10.0,0.0,9.0,22.0,0.0,15.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N554NN
10.0,G4,2928,2025,11,15,6,ABE,SFB,2,3,1133,1288,155.0,1.0,1.0,22.0,50.0,0.0,11.0,0.0,13.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,821NV
-6.0,MQ,3647,2025,11,15,6,ABI,DFW,2,3,388,456,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N288NN
-8.0,MQ,3891,2025,11,15,6,ABI,DFW,2,3,456,524,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N236NN
49.0,MQ,4039,2025,11,15,6,ABI,DFW,2,3,633,699,66.0,1.0,-3.0,-14.0,30.0,0.0,20.0,0.0,26.0,17.0,0.0,15.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N232NN
-10.0,MQ,3468,2025,11,15,6,ABI,DFW,2,3,891,955,64.0,1.0,-7.0,-8.0,35.0,0.0,20.0,0.0,26.0,23.0,0.0,24.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N743MB
-1.0,MQ,3380,2025,11,15,6,ABI,DFW,2,3,1093,1159,66.0,1.0,-2.0,3.0,70.0,0.0,29.0,0.0,30.0,31.0,0.0,30.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N318JE
-5.0,OO,5988,2025,11,15,6,ABQ,DEN,3,3,315,408,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N146SY
-8.0,OO,4152,2025,11,15,6,ABQ,SLC,3,3,315,434,119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,40.78886,-111.979866,N285SY
7.0,WN,1704,2025,11,15,6,ABQ,DEN,3,3,330,420,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N8822Q
-4.0,WN,2148,2025,11,15,6,ABQ,LAS,3,3,360,400,100.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,36.083361,-115.151817,N8949Q
29.0,OO,4115,2025,11,15,6,ABQ,LAX,3,3,361,445,144.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N607CZ
-5.0,MQ,4078,2025,11,15,6,ABQ,ORD,3,3,362,609,187.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,16.0,0.0,33.0,35.039976,-106.608925,41.9786,-87.9048,N253NN
66.0,AA,2032,2025,11,15,6,ABQ,DFW,3,3,366,544,118.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N934NN
-10.0,OO,6196,2025,11,15,6,ABQ,PHX,3,3,377,470,93.0,1.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N514SY
-6.0,WN,211,2025,11,15,6,ABQ,PHX,3,3,385,475,90.0,1.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N7820L
-4.0,WN,3508,2025,11,15,6,ABQ,DAL,3,3,400,570,110.0,1.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.844776,-96.847653,N8528Q
0.0,OO,6480,2025,11,15,6,ABQ,LAX,3,3,420,500,140.0,1.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N506SY
-13.0,UA,621,2025,11,15,6,ABQ,DEN,3,3,420,508,88.0,1.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N62892
-2.0,WN,167,2025,11,15,6,ABQ,HOU,3,3,420,605,125.0,1.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,16.0,0.0,0.0,35.039976,-106.608925,29.645336,-95.276812,N8555Z
44.0,DL,1688,2025,11,15,6,ABQ,ATL,3,3,420,721,181.0,1.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,4.0,0.0,0.0,35.039976,-106.608925,33.6367,-84.428101,N889DN
-9.0,OO,4628,2025,11,15,6,ABQ,SFO,3,3,474,585,171.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,37.619806,-122.374821,N145SY
-9.0,UA,402,2025,11,15,6,ABQ,IAH,3,3,480,670,130.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,15.0,0.0,0.0,35.039976,-106.608925,29.9844,-95.3414,N17346
-1.0,WN,3601,2025,11,15,6,ABQ,MDW,3,3,495,715,160.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,16.0,0.0,26.0,35.039976,-106.608925,41.785999,-87.752403,N8864H
-10.0,AA,709,2025,11,15,6,ABQ,DFW,3,3,500,678,118.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,17.0,0.0,15.0,35.039976,-106.608925,32.896801,-97.038002,N994NN
-4.0,AA,2426,2025,11,15,6,ABQ,PHX,3,3,510,609,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,15.0,35.039976,-106.608925,33.435302,-112.005905,N812AW
-5.0,WN,100,2025,11,15,6,ABQ,AUS,3,3,540,710,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,7.0,35.039976,-106.608925,30.197535,-97.662015,N283WN
-1.0,WN,3639,2025,11,15,6,ABQ,MCO,3,3,555,885,210.0,1.0,-7.0,-21.0,265.0,0.0,0.0,0.0,0.0,22.0,0.0,6.0,35.039976,-106.608925,28.429399490356445,-81.30899810791016,N274WN
3.0,WN,3491,2025,11,15,6,ABQ,OAK,3,3,570,670,160.0,1.0,-7.0,-25.0,80.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,35.039976,-106.608925,37.720085,-122.221184,N473WN
0.0,WN,1778,2025,11,15,6,ABQ,LAS,3,3,600,640,100.0,1.0,-4.0,-13.0,80.0,3.0,9.0,0.0,0.0,18.0,0.2,6.0,35.039976,-106.608925,36.083361,-115.151817,N8912Q
-10.0,AA,2645,2025,11,15,6,ABQ,DFW,3,3,632,803,111.0,1.0,7.0,-16.0,98.0,3.0,9.0,0.0,0.0,18.0,0.0,13.0,35.039976,-106.608925,32.896801,-97.038002,N922NN
-2.0,WN,3485,2025,11,15,6,ABQ,DAL,3,3,635,800,105.0,1.0,-4.0,-15.0,35.0,3.0,9.0,0.0,0.0,19.0,0.0,11.0,35.039976,-106.608925,32.844776,-96.847653,N467WN
-7.0,WN,3134,2025,11,15,6,ABQ,PHX,3,3,635,720,85.0,1.0,-4.0,-6.0,80.0,3.0,9.0,0.0,0.0,17.0,0.0,11.0,35.039976,-106.608925,33.435302,-112.005905,N7722B
-2.0,WN,3255,2025,11,15,6,ABQ,DEN,3,3,655,740,85.0,1.0,-8.0,-24.0,50.0,0.0,9.0,0.0,0.0,13.0,0.0,20.0,35.039976,-106.608925,39.860027,-104.673792,N8889Q
-6.0,OO,5834,2025,11,15,6,ABQ,DEN,3,3,660,750,90.0,1.0,-13.0,-32.0,161.0,0.0,8.0,0.0,0.0,13.0,0.0,20.0,35.039976,-106.608925,39.860027,-104.673792,N146SY
1.0,WN,1320,2025,11,15,6,ABQ,BNA,3,3,670,890,160.0,1.0,-4.0,-14.0,85.0,0.0,8.0,0.0,0.0,18.0,0.0,11.0,35.039976,-106.608925,36.1245,-86.6782,N8646B
