DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
-12.0,OH,5600,2025,5,15,4,ABE,CLT,2,3,325,432,107.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N502AE
-8.0,G4,1803,2025,5,15,4,ABE,SFB,2,3,390,536,146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,297NV
-11.0,G4,1839,2025,5,15,4,ABE,PIE,2,3,420,575,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,27.9102,-82.687401,256NV
-10.0,G4,1788,2025,5,15,4,ABE,PGD,2,2,540,704,164.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,26.9202,-81.990501,272NV
-4.0,G4,504,2025,5,15,4,ABE,FLL,2,3,734,901,167.0,1.0,-9.0,-5.0,90.0,0.0,16.7,0.0,11.2,30.6,0.0,0.0,40.651773,-75.442797,26.072599,-80.152702,236NV
-5.0,G4,1837,2025,5,15,4,ABE,SRQ,2,3,785,947,162.0,1.0,-4.0,-8.0,90.0,0.0,16.7,0.0,9.4,29.4,0.0,5.4,40.651773,-75.442797,27.394631,-82.554359,297NV
-9.0,G4,1829,2025,5,15,4,ABE,MCO,2,3,833,981,148.0,1.0,-11.0,-11.0,50.0,0.0,16.7,0.0,9.4,30.0,0.0,7.6,40.651773,-75.442797,28.429399490356445,-81.30899810791016,256NV
5.0,G4,164,2025,5,15,4,ABE,SFB,2,3,964,1110,146.0,1.0,-10.0,6.0,90.0,0.0,18.9,0.3,11.2,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,272NV
45.0,OH,5502,2025,5,15,4,ABE,CLT,2,3,1047,1154,107.0,1.0,-5.0,-7.0,72.0,0.0,19.4,0.3,9.4,29.4,0.0,16.6,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N540EG
-10.0,MQ,3706,2025,5,15,4,ABI,DFW,2,3,315,373,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N774JG
-6.0,MQ,3647,2025,5,15,4,ABI,DFW,2,3,386,444,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N243NN
-2.0,MQ,3468,2025,5,15,4,ABI,DFW,2,3,838,896,58.0,1.0,-3.0,-6.0,31.0,0.0,21.7,0.0,18.4,25.6,0.0,22.3,32.4113006592,-99.6819000244,32.896801,-97.038002,N302RN
-4.0,MQ,3405,2025,5,15,4,ABI,DFW,2,3,1086,1147,61.0,1.0,-6.0,0.0,70.0,0.0,24.4,0.0,13.0,31.7,0.0,11.2,32.4113006592,-99.6819000244,32.896801,-97.038002,N264NN
-6.0,AA,3047,2025,5,15,4,ABQ,DFW,3,3,300,470,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N352PS
-1.0,WN,7,2025,5,15,4,ABQ,DAL,3,3,300,465,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.844776,-96.847653,N7728D
1.0,WN,346,2025,5,15,4,ABQ,AUS,3,3,315,475,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,30.197535,-97.662015,N8819L
-7.0,OO,5619,2025,5,15,4,ABQ,DEN,3,3,330,417,87.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N134SY
-2.0,OO,3888,2025,5,15,4,ABQ,SLC,3,3,330,435,105.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,40.78886,-111.979866,N254SY
-2.0,WN,456,2025,5,15,4,ABQ,DEN,3,3,340,420,80.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N8866H
-1.0,OO,4115,2025,5,15,4,ABQ,LAX,3,3,360,433,133.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N255SY
-10.0,OO,6247,2025,5,15,4,ABQ,PHX,3,3,360,386,86.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N513SY
-4.0,OO,4628,2025,5,15,4,ABQ,SFO,3,3,360,465,165.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,37.619806,-122.374821,N612UX
3.0,AA,2335,2025,5,15,4,ABQ,DFW,3,3,361,531,110.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,32.896801,-97.038002,N958XV
-3.0,WN,16,2025,5,15,4,ABQ,HOU,3,3,380,565,125.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,29.645336,-95.276812,N901WN
-8.0,OO,6224,2025,5,15,4,ABQ,LAX,3,3,410,480,130.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.942501,-118.407997,N510SY
-6.0,WN,1565,2025,5,15,4,ABQ,PHX,3,3,415,435,80.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,33.435302,-112.005905,N7875A
-7.0,UA,621,2025,5,15,4,ABQ,DEN,3,3,420,504,84.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,39.860027,-104.673792,N38446
-4.0,AS,618,2025,5,15,4,ABQ,SEA,3,3,420,550,190.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,47.447943,-122.310276,N479AS
-1.0,DL,1688,2025,5,15,4,ABQ,ATL,3,3,420,725,185.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19.4,0.0,11.2,35.039976,-106.608925,33.6367,-84.428101,N919DU
-7.0,WN,1551,2025,5,15,4,ABQ,LAS,3,3,430,465,95.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.039976,-106.608925,36.083361,-115.151817,N7743B
-10.0,DL,2904,2025,5,15,4,ABQ,MSP,3,3,440,655,155.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.6,0.0,20.5,35.039976,-106.608925,44.880081,-93.221741,N351NW
