DEP_DELAY,OP_CARRIER,OP_CARRIER_FL_NUM,FL_YEAR,FL_MONTH,FL_DAY,FL_WEEK,ORIGIN_INDEX,DEST_INDEX,ORIGIN_TIER,DEST_TIER,CRS_DEP_TIME_MIN,CRS_ARR_TIME_MIN,CRS_ELAPSED_TIME,FLIGHTS,PREV_DEP_DELAY,PREV_ARR_DELAY,PREV_TIME_GAP,ORIGIN_CUM_DELAY_2H,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE,TAIL_NUM
-10.0,G4,177,2024,11,15,5,ABE,SFB,2,3,360,517,157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,199NV
-11.0,9E,5462,2024,11,15,5,ABE,ATL,2,3,360,505,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,33.6367,-84.428101,N153PQ
-11.0,OH,5600,2024,11,15,5,ABE,CLT,2,3,381,502,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N578NN
79.0,G4,1833,2024,11,15,5,ABE,MLB,2,2,480,643,163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,9.4,40.651773,-75.442797,28.102009,-80.641088,249NV
-4.0,OH,5156,2024,11,15,5,ABE,CLT,2,3,714,833,119.0,1.0,-8.0,4.0,30.0,0.0,3.9,0.0,0.0,5.6,0.0,0.0,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N516AE
43.0,9E,5241,2024,11,15,5,ABE,ATL,2,3,745,880,135.0,1.0,31.0,44.0,81.0,0.0,4.4,0.0,0.0,11.7,0.0,11.2,40.651773,-75.442797,33.6367,-84.428101,N604LR
55.0,G4,169,2024,11,15,5,ABE,SFB,2,3,761,918,157.0,1.0,-10.0,-4.0,90.0,43.0,4.4,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,28.774277,-81.234626,199NV
-13.0,G4,1797,2024,11,15,5,ABE,PGD,2,2,897,1077,180.0,1.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,40.651773,-75.442797,26.9202,-81.990501,273NV
-6.0,OH,5052,2024,11,15,5,ABE,CLT,2,3,1037,1155,118.0,1.0,-6.0,-6.0,71.0,0.0,10.6,0.0,16.6,20.0,0.0,20.5,40.651773,-75.442797,35.2140007019043,-80.94309997558594,N612NN
1.0,9E,5246,2024,11,15,5,ABE,ATL,2,3,1069,1210,141.0,1.0,-7.0,2.0,40.0,0.0,10.6,0.0,16.6,17.8,0.0,16.6,40.651773,-75.442797,33.6367,-84.428101,N348PQ
1.0,MQ,3706,2024,11,15,5,ABI,DFW,2,3,305,362,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4113006592,-99.6819000244,32.896801,-97.038002,N743MB
